Table|Column|TypeName|TypeLenght|Default|Options|Primary|Unique|ForeignTable|ForeignColumn
0|0|VARCHAR|100||NOT NULL|true|false||
0|1|VARCHAR|100||NOT NULL|false|true||
0|2|VARCHAR|100|||false|false||
0|3|VARCHAR|100||NOT NULL|false|false||
0|4|VARCHAR|100|''|NOT NULL|false|false||
0|22|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
1|5|VARCHAR|100||NOT NULL|true|false||
1|6|VARCHAR|100|||false|false||
1|7|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
1|8|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
1|9|VARCHAR|100|'application/octet-stream'|NOT NULL|false|false||
1|10|BIGINT||0|NOT NULL|false|false||
1|11|BOOLEAN||FALSE|NOT NULL|false|false||
1|12|SMALLINT||0|NOT NULL|false|false||
1|22|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
2|0|VARCHAR|100||NOT NULL|true|false|0|0
2|5|VARCHAR|100||NOT NULL|true|false|1|5
2|13|VARCHAR|100||NOT NULL|true|false|1|5
2|22|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
3|0|VARCHAR|100||NOT NULL|true|false|0|0
3|5|VARCHAR|100||NOT NULL|true|false|1|5
3|14|BOOLEAN||TRUE|NOT NULL|false|false||
3|15|BOOLEAN||TRUE|NOT NULL|false|false||
3|16|BOOLEAN||FALSE|NOT NULL|false|false||
3|17|BOOLEAN||FALSE|NOT NULL|false|false||
3|22|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
4|18|VARCHAR|100||NOT NULL|true|false||
4|0|VARCHAR|100||NOT NULL|false|false|0|0
4|22|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
5|19|BIGINT|||GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY|false|false||
5|0|VARCHAR|100||NOT NULL|false|false|0|0
5|5|VARCHAR|100||NOT NULL|false|false|1|5
5|20|VARCHAR|100||NOT NULL|false|false||
5|21|SMALLINT||0|NOT NULL|false|false||
5|22|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
